S   PID  PPID  SPID  TGID THCNT CLS PRI  NI STAT CMD                         RTPRIO
S  1918  1917  1918  1918    11  TS  19   0 Sl+  ./t24                            -
R  1918  1917  1920  1918    11  RR  60   - Rl+  ./t24                           20
R  1918  1917  1921  1918    11  RR  74   - Rl+  ./t24                           34
R  1918  1917  1925  1918    11  RR  76   - Rl+  ./t24                           36
R  1918  1917  1947  1918    11  RR  74   - Rl+  ./t24                           34
R  1918  1917  1954  1918    11  RR  45   - Rl+  ./t24                            5
R  1918  1917  1956  1918    11  RR 107   - Rl+  ./t24                           67
R  1918  1917  1961  1918    11  RR  60   - Rl+  ./t24                           20
R  1918  1917  1963  1918    11  RR  61   - Rl+  ./t24                           21
S  1918  1917  1967  1918    11  RR  80   - Sl+  ./t24                           40
S  1918  1917  1968  1918    11  RR  90   - Sl+  ./t24                           50
